Function                                                                                                                                                                                                                                                                                                                                                                                         Module                     CPU Time  Spin Time  Overhead Time
_ZN3tbb8internal13function_taskIZN8tiny_cnn7networkINS2_3mseENS2_36gradient_descent_levenberg_marquardtEE14train_onebatchEPKSt6vectorIdSaIdEESB_iiEUlvE_E7executeEv                                                                                                                                                                                                                              cnn                          0.010s         0s             0s
tbb::internal::atomic_backoff::pause                                                                                                                                                                                                                                                                                                                                                             libtbb.so.2                  0.010s     0.010s             0s
tiny_cnn::network<tiny_cnn::mse, tiny_cnn::gradient_descent_levenberg_marquardt>::is_canonical_link<tiny_cnn::activation::function>                                                                                                                                                                                                                                                              cnn                          0.010s         0s             0s
tiny_cnn::partial_connected_layer<tiny_cnn::activation::tan_h>::remap                                                                                                                                                                                                                                                                                                                            cnn                          0.010s         0s             0s
[Import thunk pthread_getspecific]                                                                                                                                                                                                                                                                                                                                                               libtbb.so.2                  0.009s         0s             0s
operator new                                                                                                                                                                                                                                                                                                                                                                                     libstdc++.so.6.0.13          0.009s         0s             0s
tbb::internal::observer_list::notify_entry_observers                                                                                                                                                                                                                                                                                                                                             libtbb.so.2                  0.009s     0.009s             0s
tiny_cnn::input_layer::in_size                                                                                                                                                                                                                                                                                                                                                                   cnn                          0.009s         0s             0s
[Import thunk tbb::task_group_context::is_group_execution_cancelled]                                                                                                                                                                                                                                                                                                                             cnn                          0.008s         0s             0s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.008s         0s         0.008s
__dbl_mp                                                                                                                                                                                                                                                                                                                                                                                         libm-2.12.so                 0.008s         0s             0s
__mpexp                                                                                                                                                                                                                                                                                                                                                                                          libm-2.12.so                 0.008s         0s             0s
operator delete                                                                                                                                                                                                                                                                                                                                                                                  libstdc++.so.6.0.13          0.008s         0s             0s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.007s         0s         0.007s
_INTERNAL_27_______src_tbb_scheduler_cpp_3f34bbdd::__TBB_machine_cmpswp8                                                                                                                                                                                                                                                                                                                         libtbb.so.2                  0.007s         0s             0s
_ZN3tbb10interface78internal9start_forINS_13blocked_rangeIiEEZN8tiny_cnn5for_iIZNS5_36gradient_descent_levenberg_marquardt6updateERKSt6vectorIdSaIdEESC_RSA_EUliE_EEvbiT_EUlRKS4_E_KNS_16auto_partitionerEED2Ev                                                                                                                                                                                  cnn                          0.007s         0s             0s
__itt_stack_callee_enter                                                                                                                                                                                                                                                                                                                                                                         libittnotify_collector.so    0.007s         0s             0s
rml::internal::thread_monitor::notify                                                                                                                                                                                                                                                                                                                                                            libtbb.so.2                  0.007s         0s             0s
tbb::internal::basic_tls<tbb::internal::generic_scheduler*>::get                                                                                                                                                                                                                                                                                                                                 libtbb.so.2                  0.007s         0s             0s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.006s         0s         0.006s
memcpy                                                                                                                                                                                                                                                                                                                                                                                           libc-2.12.so                 0.006s         0s             0s
norm                                                                                                                                                                                                                                                                                                                                                                                             libm-2.12.so                 0.006s         0s             0s
rml::internal::thread_monitor::prepare_wait                                                                                                                                                                                                                                                                                                                                                      libtbb.so.2                  0.006s         0s             0s
